,country,clicks,impressions,ad_revenue,year,month
0,AD,3,24,1.21,2018,11
1,AE,49985,4404968,4521.019999999999,1525608,8381
2,AF,0,4,1.8,2018,11
3,AL,53,19996,3.66,6054,34
4,AM,500,43752,30.590000000000007,48432,273
5,AR,486810,42052223,8540.840000000011,2704120,14809
6,AT,105413,11637773,8565.850000000006,2778786,15283
7,AU,1026142,14371771,23906.489999999958,4193404,22902
8,AZ,439,63468,14.48,22198,119
9,BA,98,11553,8.370000000000001,14126,77
10,BB,3,220,1.06,2018,11
11,BD,21695,4564376,483.19999999999976,589256,3275
12,BE,63824,9727238,7296.5899999999865,2532590,13927
13,BG,256143,35991002,5815.080000000009,2809056,15442
14,BH,4128,83390,103.89,141260,797
15,BR,1527209,99542251,50536.34000000001,4199458,22907
16,BY,12192,1318567,280.8000000000001,403600,2230
17,CA,6736758,44268543,61409.81000000008,5448600,29823
18,CH,17706,2064450,3007.9300000000003,1632562,8890
19,CL,345637,23269481,7034.72000000001,2472050,13566
20,CN,11,151,2.13,2018,11
21,CO,1072373,110213184,22828.530000000042,4346772,23750
22,CR,23317,2869747,1041.7700000000011,986802,5412
23,CY,1729,467361,166.01999999999995,217944,1240
24,CZ,9558,1735648,836.8599999999998,898010,4917
25,DE,591774,102389715,107841.12999999996,5246800,28588
26,DK,5777,1369098,1220.5899999999995,851596,4653
27,DO,175,55105,13.669999999999998,24216,139
28,DZ,86217,13029510,1103.9799999999998,1269322,7030
29,EC,30148,2263282,524.3600000000001,603382,3367
30,EE,973,265083,190.45000000000013,246196,1349
31,EG,963579,83218831,13036.849999999993,3878596,21372
32,ES,500620,78000141,37374.58000000006,4903740,26737
33,FI,81094,14638560,5785.11000000001,2687976,14659
34,FR,393113,66171752,72466.87,4788714,26126
35,GB,526981,73789030,113017.63000000022,5628202,30689
36,GE,886,104638,43.949999999999996,70630,399
37,GH,4,72,1.07,2018,11
38,GR,134411,26946262,6651.879999999997,2685958,14685
39,GT,2549,435021,130.52,181620,992
40,GU,8,1776,7.65,10090,54
41,HK,498,17946,60.11,94846,517
42,HN,1,29,1.01,2018,11
43,HR,18432,4510064,1117.2499999999998,940388,5199
44,HU,76765,8175164,2129.9599999999996,1563950,8613
45,ID,1129190,102046237,36803.54999999999,4385114,23884
46,IE,29163,3112726,3150.080000000001,1529644,8348
47,IL,229903,17750899,6652.310000000011,2661742,14512
48,IN,25590263,372192252,112516.68000000014,6554464,35914
49,IQ,1503,295403,81.64,115026,630
50,IS,150,20504,35.51,54486,301
51,IT,454387,51430249,31006.209999999966,4280178,23446
52,JE,1,3,1.07,2018,10
53,JM,6,240,1.44,2018,12
54,JO,65187,3013461,720.1699999999993,744642,4108
55,JP,463482,5156166,5418.459999999998,2286394,12530
56,KE,11484,570285,415.75,407636,2232
57,KR,11215,781377,732.5399999999997,857650,4687
58,KW,31139,1649642,846.5800000000004,702264,3829
59,KZ,48716,1706920,501.8199999999999,506518,2791
60,LB,121,33535,16.15,26234,145
61,LC,2,17,1.18,2018,12
62,LK,15966,2147445,249.85000000000005,371312,2084
63,LT,2897,675616,250.26000000000005,324898,1781
64,LU,63,3356,13.860000000000001,20180,112
65,LV,640,107886,109.31999999999996,143278,775
66,MA,80990,7589338,1012.6399999999995,1124026,6204
67,MD,24631,6599174,1460.0399999999997,1079630,5968
68,MK,9815,2537895,363.9300000000004,401582,2269
69,MM,927,47413,40.93000000000001,62558,350
70,MT,472,94317,90.16999999999999,139242,748
71,MX,22601447,208316645,82723.04000000011,5539410,30369
72,MY,763565,49482223,16018.78,3600112,19695
73,NG,107,930,2.12,4036,23
74,NI,3,215,1.11,2018,12
75,NL,107586,16362107,8818.69,3172296,17281
76,NO,12554,2337576,2136.189999999999,1567986,8532
77,NP,1,52,1.02,2018,11
78,NZ,26742,2451331,2939.2099999999987,1497356,8200
79,OM,53,5974,9.07,14126,80
80,OU,76136129,10482118,4829.9699999999975,958550,5461
81,PA,7469,1483410,423.95000000000033,518626,2903
82,PE,197055,11273337,3539.7500000000014,1636598,8932
83,PH,191454,14115175,4197.990000000002,2078540,11422
84,PK,255717,47256459,6010.410000000002,3188440,17561
85,PL,423591,48319079,15657.590000000024,3922992,21511
86,PR,61052,7860282,3995.6000000000013,2015982,10931
87,PS,292,146832,26.490000000000006,38342,207
88,PT,41705,5233727,1541.939999999998,1329862,7302
89,PY,1,1534,1.03,2018,10
90,QA,2632,51979,74.65,123098,682
91,RO,887356,103378968,19515.72000000002,4308430,23586
92,RS,54788,9220132,1009.92,980748,5351
93,RU,792938,72002614,29458.689999999988,3426564,18792
94,SA,112672,7799184,3810.7700000000004,1812164,9994
95,SE,39194,7461641,5111.889999999994,2411510,13189
96,SG,38141,3866485,2379.080000000001,1642652,9022
97,SI,3123,682123,285.45000000000005,349114,1904
98,SK,1948,469579,276.9,349114,1904
99,SV,1331,131197,66.86999999999999,80720,452
100,TH,77457,3809704,1645.3800000000003,1065504,5828
101,TN,99040,4817153,671.0400000000004,809218,4464
102,TR,1388350,127307193,25421.62,4599022,25136
103,TT,4182,63273,68.46000000000001,88792,510
104,TW,39,5209,26.56,32288,177
105,TZ,5,349,2.24,4036,22
106,UA,132112,9509994,2046.2400000000014,1426726,7904
107,US,134320846,630328531,1322409.8699999987,8069982,44295
108,UY,739,22574,55.360000000000014,42378,240
109,UZ,6,317,1.45,2018,12
110,VI,3,39,2.24,4036,22
111,VN,37832,1374379,941.4200000000004,891956,4887
112,ZA,46887,3347542,1805.8399999999992,1212818,6591
